clean_text,label_id
baعd boukra el teءdim,0
saraحa iâ m not sure la min tebعa bas akid fi sabab ma kasaro ella alfa beirut bank and ufa insurance,1
ana bحebik ktir ya amar,2
hahahahaha tammen memen dolatataq waslu,1
hahahahaha daman mano lebnnen pa undadd masre masre um yjarb yhky lebnnene p,1
(b) Your child was published. Your child was born. His child was born.,1
rah ebعatlik raءme dm yalla lahza,1
mish defensively azde bass eno ma ken fi ktir chances w plays helwin w hek,0
badon esbetet,1
ya adedle absaded akid anaa Mafhoak bibs kistabilitem ktir ragyyak kkellna ka habebbs shabbbbbbs shabbs bs sadibbs,1
ktir beعtal hamm okhbos hada ana w seyءa عal autostrade,0
chou b fahmik ente aslan ktir saعbe hay,0
plzzz tamina عla nancy kteeer mshغol balna عleeha ðÿ ðÿ ðÿ nancy sart aحsan hlء,0
ktir heloo,2
"Lay back the rock of the rock, the rock of the ya bas enno ad cava",1
ana ktir mabsouta hallaء,2
â œ chefeetttt haydik el jomعa rekbte hallaء ءide im dyingâ hayda alla ðÿ,0
ya alla hal shab sawto ktir حelo metlo,2
omg chou sayerrr,0
ktir awe el monsieur avec mish carlos wala haidak tabaع el mحatta ah esmo nadim,2
hahahahhaha hayda kalbik,2
chou awal chi عmelti bas tlaعte mn academy,1
kenet bjarrib marreءlak yeha law be beirut bass i already lent my hard drive laءan fi عalam kamen badda p,1
rouءe rouءe tawle belik ma byeswa halءad toumouح,1
taءakadi,1
ya sabe ent,1
looooool ktir helo bas enteh ahlaaa yoءbroneh modelik chou helweh,2
haha خaye mahadan ءarab عlaykon yea into ktir aweya hal sine,2
hahahaha ma hek ktir kbir,2
allah yestor chou rah talعo arar,0
ma عm betخataaa ktir awiyee,2
fina ndal bel takhet,1
habibti chou saierr maعekk o,0
ana fhmen wejhtet nazarak bas into from your point of view ma fhmenen ino nحna ma mnosaء la bel حariri wala ghayro jarabnehon ktir w kil mara feshlo kilon yعni kilon meshklitna msh bas mshklet mataleb mshkletna meshklet theءa w laح ndal nحarebon w عlyna w عala ءعdeءna,0
(b) Participation in one hat: (a) (a) (c) (b) (c) (c) (c) (c) (d) (d) (d) (d) (d) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (e) (,1
