tweet,sentiment,clean_text,label_id
"Aw enn l ahla men hek hay li btelbesle crop top b noss din l sa23a w l talej w bte23ad tne2 ""Msa23aaa"" ""Ya alla ktir sa23aa"" N2ebre lbese. ",Negative,aw enn l ahla men hek hay li btelbesle crop top b noss din l saءعa w l talej w bteءعad tneء msaءعaaa ya alla ktir saءعaa nءebre lbese,0
yu2brnee jamelo pepe :p tfeh shu beche3 bas li kanze por la decima ma7leto ,Negative,yuءbrnee jamelo pepe p tfeh shu becheع bas li kanze por la decima maحleto,0
Lea ktir pedophile 😂 ,Negative,lea ktir pedophile,0
Shu hal hmar hayda ,Negative,shu hal hmar hayda,0
Fasharet 3a ra2btak w ra2bit m3almak w ra2bit li khalafouk ,Negative,fasharet عa raءbtak w raءbit mعalmak w raءbit li khalafouk,0
Hayda ensen marid ,Negative,hayda ensen marid,0
my uncle is lowkey aawne w ktir aabele natfo ,Negative,my uncle is lowkey aawne w ktir aabele natfo,0
Bassam bte7lam feyon lal syesye bel leil as a nightmare? :) ,Negative,bassam bteحlam feyon lal syesye bel leil as a nightmare,0
@Ritarouhana helo ktir. Eza badkoun tejo kelkoun ouloula la nawal tjebelna van akbar :P. Ba3doun 3am bi rouho bel van li bi se3 nos wahad? ,Negative,helo ktir eza badkoun tejo kelkoun ouloula la nawal tjebelna van akbar p baعdoun عam bi rouho bel van li bi seع nos wahad,0
Hayda ma biya3ref ye2ra w yektob w bedo waziren Wlooo kif la Ken iza Ken 3ando terminal ,Negative,hayda ma biyaعref yeءra w yektob w bedo waziren wlooo kif la ken iza ken عando terminal,0
Eh laeno l darak 3ana ktir awedim ,Negative,eh laeno l darak عana ktir awedim,0
"Kiff kell wahad sar ynazel soura la day3to ma3 ""my village last night"" w henne bel 10 snin byotla3o marra.",Negative,kiff kell wahad sar ynazel soura la dayعto maع my village last night w henne bel 10 snin byotlaعo marra,0
@CharbelGhsoub mech hayda yale ken ykun fi mounesabet lal ouwet yrouh y3alle2 a3lem? sar bado y7allil,Negative,mech hayda yale ken ykun fi mounesabet lal ouwet yrouh yعalleء aعlem sar bado yحallil,0
"@Cybele_reaidy bi kouno msh aryin shi mnel enjil gher verse wehde w bi hotoua ""favorite verse"" shou fahamik..",Negative,bi kouno msh aryin shi mnel enjil gher verse wehde w bi hotoua favorite verse shou fahamik,0
Boy : ana be7tirim ra2ey el mar2a w da2iman b7otto 2idem ra2ye Girl : habibe enta ktir mni7 Boy : skete wli ma 7adan talab ra2yik *slap her*,Negative,boy ana beحtirim raءey el marءa w daءiman bحotto ءidem raءye girl habibe enta ktir mniح boy skete wli ma حadan talab raءyik slap her,0
@OSalem96 Bro shu 3m tebke.. beirut ma3a esshel,Negative,bro shu عm tebke beirut maعa esshel,0
awlkon byaarfo shou yaane حكومة تصريف أعمال? bshekk bl mawdou3. ,Negative,awlkon byaarfo shou yaane حكومة تصريف أعمال bshekk bl mawdouع,0
Wa2afna el dares wel gym lal thawra. Tlo3na noss7anin wel exam kal 7oukam is still standing strong in 1 week. Ekel Khara af. ,Negative,waءafna el dares wel gym lal thawra tloعna nossحanin wel exam kal حoukam is still standing strong in 1 week ekel khara af,0
Ka eno ma hada ghayra bemasel helo 🤣 ,Negative,ka eno ma hada ghayra bemasel helo,0
Chou mahdoumeh😒 ,Negative,chou mahdoumeh,0
@H7470 hehe hayda saba7 ...saba7 l 2araf ,Negative,hehe hayda sabaح sabaح l ءaraf,0
fhemna eno elsy el achkar rebheta lal siyara walla ,Negative,fhemna eno elsy el achkar rebheta lal siyara walla,0
@FansLeaMakhoul1 Anaaa W Ma Bcherikk Bi Wala Wahad Ba2aa:pChii Ktiirr Mez3ijj W Ma Elo 3azee..Chou Ela Me3na Ybayyin Senye L Esem Bl Trend?😂 ,Negative,anaaa w ma bcherikk bi wala wahad baءaa pchii ktiirr mezعijj w ma elo عazee chou ela meعna ybayyin senye l esem bl trend,0
Eza btekhde soura w mkhabeye wejjek bi telephonek w hada allek pretty 3am yedahak 3alayke... ,Negative,eza btekhde soura w mkhabeye wejjek bi telephonek w hada allek pretty عam yedahak عalayke,0
Ktir bteje mezeej enta😁.,Negative,ktir bteje mezeej enta,0
7elwe l3aj2a ..... eh bass ktir hal2ad@@@,Negative,حelwe lعajءa eh bass ktir halءad,0
"@raedhassoun lech hek mfkrni bkrah l barouk ana ru7i m3l2a bl barouk bas bkrah nesa ""7awach"" 😊",Negative,lech hek mfkrni bkrah l barouk ana ruحi mعlءa bl barouk bas bkrah nesa حawach,0
@JessyBassil Lol so2al ktir tefeh😂,Negative,lol soءal ktir tefeh,0
@vanessabyounes @adelkaram9 chou halll hadeyaaa li ha2oun 20 000 ll majaleh 5000 ll w cd 1000 ll w 3elbet barazi2 16 000ll la2 bas mkalaf,Negative,chou halll hadeyaaa li haءoun 20 000 ll majaleh 5000 ll w cd 1000 ll w عelbet baraziء 16 000ll laء bas mkalaf,0
La walllaaaaaaaaaaaaa aktar shwayyyy ,Negative,la walllaaaaaaaaaaaaa aktar shwayyyy,0
La2 tawele belakkk marwan tizeeeee min ken seme3 fikkk law ma a3melak l helwe😡😡😡😡😡😡😡 ,Negative,laء tawele belakkk marwan tizeeeee min ken semeع fikkk law ma aعmelak l helwe,0
Enno baddak ba3d 10 snin tenye!!!!??? Latgibo lkahraba??? Ya chabih lbani admin l3alam kello 3am bi2oul 3endkon hader belkahraba. Fachart ya harami wya 🐇🐇🐇🐇🐇 ,Negative,enno baddak baعd 10 snin tenye latgibo lkahraba ya chabih lbani admin lعalam kello عam biءoul عendkon hader belkahraba fachart ya harami wya,0
Lyom da2it rfi2it 3mte w ma b3rfa w dalit thkine chi 1h w blchit 3rft habe t3mle nursing bs lyke ya joya balelik hal chghle fkre b3den eno bdk trabe wledk w ta3ab w fkre bchi ektisad w t2amne masare w ykun helo Bro ana b3rfk chi? Merci 3al nasi7a bs ma hdn talab r2yik w merci :) ,Negative,lyom daءit rfiءit عmte w ma bعrfa w dalit thkine chi 1h w blchit عrft habe tعmle nursing bs lyke ya joya balelik hal chghle fkre bعden eno bdk trabe wledk w taعab w fkre bchi ektisad w tءamne masare w ykun helo bro ana bعrfk chi merci عal nasiحa bs ma hdn talab rءyik w merci,0
@Lak3ade: Mazel 7adertik be hal moustawa w hal ahammiyye.. Leh mch sem3in 3annik babe ? #MTVLEBANON #mtv #MTVLEBANON #mtv,Negative,mazel حadertik be hal moustawa w hal ahammiyye leh mch semعin عannik babe,0
Helo l hobb bess mch helo l habal ,Negative,helo l hobb bess mch helo l habal,0
W ela 3en tehke 😂 ,Negative,w ela عen tehke,0
Kif bet oulo la hada btari2a mhazabe eno sar hake ktir la daraje tawashne ,Negative,kif bet oulo la hada btariءa mhazabe eno sar hake ktir la daraje tawashne,0
Se3a 3 ma ba3refak...3anjad 3am tehkune fb chat ? ,Negative,seعa 3 ma baعrefak عanjad عam tehkune fb chat,0
Ba3ed fi sette ma 3emlet make up tutorial,Negative,baعed fi sette ma عemlet make up tutorial,0
Habbet kif bye2tlo. #law #law,Negative,habbet kif byeءtlo,0
@RayaneHakki ana nawre chou fike ta3mle :/,Negative,ana nawre chou fike taعmle,0
@eddy_hatem ya3meli chi effet ba3ed,Negative,yaعmeli chi effet baعed,0
W ba3den law chou ma ken ll arar tfaddalo khabbrouna min ba3ed rah yedrous men ba3d kell hal tshweshour @EliasBouSaab,Negative,w baعden law chou ma ken ll arar tfaddalo khabbrouna min baعed rah yedrous men baعd kell hal tshweshour,0
Sar ma3e b Antoura,Negative,sar maعe b antoura,0
#haz_mafi hayda li ahlou me7tarin ydakhlou lau aw aub tab ma leeeeeeh ???? #haz_mafi,Negative,hayda li ahlou meحtarin ydakhlou lau aw aub tab ma leeeeeeh,0
Benet jirana 3emra 16 lyom khetbeta lol . . . . Khayfeh t3anis ma fhemet chou sayir 3layoun lbanet,Negative,benet jirana عemra 16 lyom khetbeta lol khayfeh tعanis ma fhemet chou sayir عlayoun lbanet,0
3anjad hayda esmo match football? 2 penalties misses? Eno walaww,Negative,عanjad hayda esmo match football 2 penalties misses eno walaww,0
Hek faj2a twitter bi arrir ma ya3mel tweet lal soura li beddeh nazzela shu haydaaa :( #ElissaEditorInChiefJamaloukiMag #ElissaEditorInChiefJamaloukiMag,Negative,hek fajءa twitter bi arrir ma yaعmel tweet lal soura li beddeh nazzela shu haydaaa,0
4.15 - 7.20 Home sweet home.. #TrafficJam Bi 2oulo tjanabo lebnen lech fi a7la men lebnen? #TrafficJam,Negative,4 15 7 20 home sweet home bi ءoulo tjanabo lebnen lech fi aحla men lebnen,0
@TheBeardedPirlo ya 3ame eh w ktir helwe :p bass eno bi2ela b3atiyon taxi bt2ello hal2 beb3aton wtsp? Ymashoona ,Negative,ya عame eh w ktir helwe p bass eno biءela bعatiyon taxi btءello halء bebعaton wtsp ymashoona,0
"Ahla shi bass yed3ouna ""li dabt l nafs"" w ""tajannoub l fetna"". Merci ya3ne 3melto sheghelkoun ktir mnih ",Negative,ahla shi bass yedعouna li dabt l nafs w tajannoub l fetna merci yaعne عmelto sheghelkoun ktir mnih,0
“@NellyGeorgeHarb: L ta2es ktir mounesab ta nekol hawa” Mnekol nekat kamena aw la2 ? :p ,Negative,l taءes ktir mounesab ta nekol hawa mnekol nekat kamena aw laء p,0
Mrab7eenek jmeele 3al $2000 yalle baddek tedfa3eehon lal course ,Negative,mrabحeenek jmeele عal 2000 yalle baddek tedfaعeehon lal course,0
My sleeping schedule kezbe aktar men Marwan Habib ,Negative,my sleeping schedule kezbe aktar men marwan habib,0
Chu hal di3aye la beirut beer 3am fattich 3al refrain w 3a refrain y2echkun 2ach nchalla ,Negative,chu hal diعaye la beirut beer عam fattich عal refrain w عa refrain yءechkun ءach nchalla,0
Bye3jebne Hayda yalle 7odir 50 Shades of Grey bass ma byo7dar Mia khalifa l2eno 7aram ,Negative,byeعjebne hayda yalle حodir 50 shades of grey bass ma byoحdar mia khalifa lءeno حaram,0
@HoussamMazraani shft ness btt3ab kaza sene la tsir doc w hayda la ann sham ri7it awal sene medecine sar doc !!!,Negative,shft ness bttعab kaza sene la tsir doc w hayda la ann sham riحit awal sene medecine sar doc,0
The two goals ma keno goals so ma tombosto ktir❤️.,Negative,the two goals ma keno goals so ma tombosto ktir,0
@marieroseosta @Change Yl3n shaklik S2ltik kif 😂 Gebran 3ndo nes sawatetlo just so you know 😜,Negative,ylعn shaklik sءltik kif gebran عndo nes sawatetlo just so you know,0
@nrkhwnd Lek hole metl sahar ghadar ya alla bdon yemsho be trend l thawra bas ma bdon ykono dod l hizb,Negative,lek hole metl sahar ghadar ya alla bdon yemsho be trend l thawra bas ma bdon ykono dod l hizb,0
Wosleeeeeeeeeeet Tekno Seyeseye M2asame Sene She3e Mase7e Yaaane ka2ano ma sar thawra ,Negative,wosleeeeeeeeeeet tekno seyeseye mءasame sene sheعe maseحe yaaane kaءano ma sar thawra,0
@salibareema sarit men hol lclass li ma behko ma3 nesss mich ktir famous,Negative,sarit men hol lclass li ma behko maع nesss mich ktir famous,0
ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana ba2a? besmaa sawta aktar men sot emme w emme ktir bet ne2 ,Negative,ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana baءa besmaa sawta aktar men sot emme w emme ktir bet neء,0
chou wade3 l ghanam be jbeil????? ,Negative,chou wadeع l ghanam be jbeil,0
Helo ktir ,Negative,helo ktir,0
ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana ba2a? besmaa sawta aktar men sot emme w emme ktir bet ne2 ,Negative,ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana baءa besmaa sawta aktar men sot emme w emme ktir bet neء,0
Bta3erfo chou ahla chi? Eno mom bs tou3a bteje bet sakkir beb l ouda w bta3moul hoover aw hayala chi ,Negative,btaعerfo chou ahla chi eno mom bs touعa bteje bet sakkir beb l ouda w btaعmoul hoover aw hayala chi,0
Hayde awal erbeneee mish 3eress wala chi chill !!,Negative,hayde awal erbeneee mish عeress wala chi chill,0
Bukra nezle Beirut w Ahle 3am b hasesune I'm going to war ,Negative,bukra nezle beirut w ahle عam b hasesune i m going to war,0
